,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
36,talk to you later need to catch up on indian engineering services math,4,neutral,0.92503643,0.0054090163,0.0023444789,0.003313633,0.013928629,0.92503643,0.010415636,0.039552264
37,right now revising for graduate aptitude test in engineering paper next week,4,neutral,0.66426855,0.016625563,0.003039403,0.09062866,0.12121807,0.66426855,0.012419709,0.09180005
38,that union public service commission mock was really wild,2,fear,0.5989789,0.13019876,0.031165285,0.5989789,0.0095760655,0.047401574,0.0023018091,0.1803776
39,no cannot join the study group have joint entrance examination test,5,sadness,0.94290304,0.009428554,0.005543403,0.009050805,0.0058777737,0.0243577,0.94290304,0.002838675
40,i know common admission test preparation can be brutal,2,fear,0.52229446,0.42184427,0.0034307097,0.52229446,0.011666756,0.0007565183,0.038093887,0.0019134593
41,for real graduate aptitude test in engineering exam was very long,6,surprise,0.39975378,0.045259964,0.005628107,0.108189754,0.014824161,0.29100847,0.1353357,0.39975378
42,got to go need to finish homework,5,sadness,0.8478511,0.0040146895,0.003366485,0.0022798595,0.026550129,0.07409885,0.8478511,0.041838873
43,let me know if you need help with the assignment,4,neutral,0.7310812,0.020641143,0.009891564,0.0832876,0.006590386,0.7310812,0.13227463,0.016233474
44,talk to you later studying for the exam,4,neutral,0.7783136,0.015919724,0.006766802,0.083978936,0.06435225,0.7783136,0.009705564,0.040963165
45,that lecture was really boring,5,sadness,0.8526839,0.015381424,0.010361981,0.0071246866,0.00465899,0.010774476,0.8526839,0.09901449
46,right now just cramming for the test,4,neutral,0.93880725,0.0073081953,0.0039508757,0.0020326865,0.008864702,0.93880725,0.014773932,0.024262289
47,for your information class is moved to tomorrow,5,sadness,0.5540293,0.014058625,0.0027224652,0.006955494,0.014436125,0.13271253,0.5540293,0.2750855
48,oh my god this quiz was really hard,6,surprise,0.939228,0.006665753,0.008872581,0.009602215,0.0025296304,0.0060016094,0.027100243,0.939228
49,that professor is a genius no lie,0,anger,0.58078027,0.58078027,0.27837154,0.0039249,0.0037438811,0.07971734,0.026783718,0.026678324
50,no i am not going to pass this test shaking my head,2,fear,0.9937423,0.0010612869,0.00056955166,0.9937423,0.00084466924,0.0008342924,0.002351596,0.0005963367
51,i do not know how i am going to finish this project in time,5,sadness,0.84924674,0.01307727,0.00092103385,0.060612507,0.026341276,0.0060975244,0.84924674,0.043703694
52,please send me your notes for the class,4,neutral,0.94887614,0.006938077,0.0033844896,0.0045335465,0.007626389,0.94887614,0.013011485,0.015629973
53,right now i am stuck on this problem help please,5,sadness,0.47128844,0.018814871,0.0076255775,0.010179541,0.0041839085,0.46865353,0.47128844,0.019254118
54,this book is really boring i cannot focus,5,sadness,0.97839683,0.004146316,0.0036490108,0.0005062984,0.0016595917,0.007931719,0.97839683,0.0037102844
55,whats up are you done with the essay,6,surprise,0.6842309,0.028015533,0.005755524,0.002762497,0.027926026,0.2192768,0.032032706,0.6842309
56,tomorrow is the deadline cannot procrastinate,5,sadness,0.94893926,0.009343909,0.0026758278,0.012248848,0.0016062706,0.020569913,0.94893926,0.004615885
57,for real this class is impossible,6,surprise,0.6480617,0.08843077,0.016175507,0.0814299,0.006100103,0.12596041,0.03384159,0.6480617
58,that topic is really tricky still confused,4,neutral,0.73323524,0.022366341,0.0272278,0.12201565,0.0020190643,0.73323524,0.042996984,0.050138827
59,wait a second checking the syllabus for next week,4,neutral,0.9139887,0.010937086,0.007136916,0.019299442,0.0026098022,0.9139887,0.02308695,0.022941096
60,in my opinion this teachers grading is tough,0,anger,0.42209834,0.42209834,0.29176655,0.032537263,0.0053517283,0.11260612,0.12294711,0.012692849
61,no cannot skip class today too important,5,sadness,0.8469716,0.0038367652,0.0023030746,0.0036762801,0.023386082,0.08671184,0.8469716,0.033114374
62,please let me know if you got the solution key,4,neutral,0.87666774,0.016896602,0.0036029175,0.0065179504,0.009621451,0.87666774,0.029724436,0.05696889
63,ready for the test tomorrow,4,neutral,0.85270745,0.008204251,0.003836369,0.036845088,0.035417777,0.85270745,0.012822241,0.050166797
64,no have not started the project yet,5,sadness,0.59473884,0.010761593,0.004849944,0.011888467,0.01731514,0.3007192,0.59473884,0.05972676
65,i do not know how to solve this equation,5,sadness,0.822493,0.013883588,0.0013959925,0.069701515,0.0052957456,0.013067447,0.822493,0.07416265
66,whats up do you have the notes from yesterday s class,6,surprise,0.7441029,0.012014734,0.0021375467,0.0024949263,0.015222223,0.21088763,0.013140059,0.7441029
67,got to go need to study now,5,sadness,0.65610445,0.0058475356,0.0028776699,0.002249301,0.06116309,0.14594825,0.65610445,0.1258097
68,be back later working on the assignment,4,neutral,0.85846025,0.0039489307,0.0013644422,0.0019422083,0.029335143,0.85846025,0.025280504,0.07966846
69,ta ta for now need to finish my readings,5,sadness,0.44024992,0.026495555,0.030164575,0.009190441,0.07674301,0.4025868,0.44024992,0.01456972
70,right now reviewing for the quiz tomorrow,4,neutral,0.8923741,0.006236171,0.0023750542,0.018600248,0.02211498,0.8923741,0.012544209,0.045755256
71,please don t forget to submit the paper before midnight,4,neutral,0.93331313,0.006324706,0.0033138655,0.008885409,0.00441553,0.93331313,0.028612085,0.015135219
72,no that math problem is really tough,4,neutral,0.3490152,0.01880833,0.026748694,0.2561842,0.011345402,0.3490152,0.22057226,0.11732592
73,oh my god that presentation was amazing,6,surprise,0.9585245,0.0034151205,0.0019956625,0.003642227,0.0237002,0.005699781,0.0030224225,0.9585245
74,are you done with the research yet,4,neutral,0.8572695,0.010560386,0.004536111,0.003354181,0.0055524125,0.8572695,0.027133353,0.09159403
75,todays lecture was mindblowing,6,surprise,0.8671865,0.005634512,0.0027150603,0.066779636,0.044400975,0.010169323,0.0031139753,0.8671865
76,cant believe that quiz was so easy,6,surprise,0.9476795,0.005360439,0.0005906082,0.001932354,0.020291494,0.01808711,0.0060584205,0.9476795
77,seriously i need to ace this test tomorrow,3,joy,0.8717115,0.014274659,0.0010366676,0.013527315,0.8717115,0.015663909,0.08002334,0.0037626345
78,for real this teacher makes everything hard,0,anger,0.3609858,0.3609858,0.1833884,0.009757638,0.0039846,0.058509216,0.13293739,0.250437
79,no this essay is really brutal,0,anger,0.54194987,0.54194987,0.24339315,0.13770725,0.0021599927,0.0076114284,0.055993408,0.011184856
80,got to go finishing the homework right now,5,sadness,0.5125431,0.0086336145,0.004550784,0.0030993125,0.04733826,0.27077058,0.5125431,0.15306437
81,this reading is so long shaking my head,2,fear,0.9908918,0.0017238419,0.0012482454,0.9908918,0.00062278577,0.0008478368,0.0012282942,0.0034371237
82,oh my god that group project was a nightmare,6,surprise,0.7747731,0.009910647,0.011977965,0.17543998,0.0028389504,0.009390656,0.015668646,0.7747731
83,in my opinion that exam was way too easy,3,joy,0.7175738,0.0075414907,0.0019957859,0.0029049981,0.7175738,0.044079855,0.0071433065,0.21876079
84,no too tired to study right now,5,sadness,0.92827505,0.0023660718,0.002488975,0.0016981863,0.0029548805,0.048793998,0.92827505,0.013422857
85,please send me the answer key when you can,4,neutral,0.94811696,0.011311601,0.0031934814,0.0049363417,0.00411887,0.94811696,0.016623214,0.011699505
86,that professor lectures way too fast,6,surprise,0.8958873,0.035120483,0.015982615,0.0038166118,0.0018315649,0.03275058,0.014610843,0.8958873
87,right now just reviewing for the midterms,4,neutral,0.91656107,0.006919144,0.002731622,0.0049293833,0.007849845,0.91656107,0.0108852135,0.050123744
88,tomorrows deadline is going to be rough,2,fear,0.46285728,0.0272464,0.014353743,0.46285728,0.0148401875,0.21901436,0.23775786,0.023930151
89,this topic is amazing as fuck i love it,3,joy,0.8521891,0.03433123,0.012015227,0.0022355,0.8521891,0.018972814,0.004076068,0.07617996
90,wait a second about to submit the project,4,neutral,0.8378345,0.017381048,0.0075033735,0.075023636,0.004147126,0.8378345,0.024255963,0.03385433
91,before class i need to finish my notes,4,neutral,0.4065383,0.040678862,0.019520482,0.1904646,0.054264378,0.4065383,0.22056384,0.06796958
92,give me a second wait a second i was reviewing the lecture,4,neutral,0.9320279,0.0077834763,0.005693943,0.008202501,0.011334656,0.9320279,0.013838869,0.021118637
93,on my way be there soon,4,neutral,0.6502934,0.0037596452,0.0020686674,0.0028229654,0.13000113,0.6502934,0.03976055,0.17129369
94,right now just relaxing at home,4,neutral,0.46129677,0.0044508977,0.00249007,0.00090147654,0.43486202,0.46129677,0.063308515,0.03269024
95,no cannot come today,5,sadness,0.94883823,0.005060581,0.002095772,0.0149594555,0.001628977,0.020954411,0.94883823,0.0064625363
96,give me a second wait a second was finishing something,4,neutral,0.9387072,0.010032069,0.0066278772,0.0050858324,0.008449326,0.9387072,0.010279774,0.020817975
97,talk to you later going to grab food,4,neutral,0.881913,0.006324308,0.005091444,0.0037936205,0.071906686,0.881913,0.0047351033,0.026235813
98,did you hear that thats crazy as fuck,0,anger,0.47159463,0.47159463,0.33202833,0.009047675,0.008311894,0.03105824,0.021993745,0.12596554
99,hit me up if you are down for the movie tonight,4,neutral,0.72083724,0.012421145,0.007925128,0.011464033,0.013948291,0.72083724,0.16726457,0.06613964
100,thats suspicious i am not feeling it,2,fear,0.9850747,0.0027199588,0.00083245675,0.9850747,0.0007735627,0.0017467585,0.0011798488,0.0076727327
101,tomorrows going to be amazing cannot wait,3,joy,0.7324534,0.0043170876,0.00051652204,0.0070242775,0.7324534,0.035474308,0.0072804685,0.21293388
102,be right back going to grab a bite to eat,4,neutral,0.85191584,0.009563185,0.003509949,0.0023638655,0.1104548,0.85191584,0.0048942114,0.01729807
103,that was a close call no lie,0,anger,0.568182,0.568182,0.061777435,0.033665396,0.0042374367,0.25531295,0.06575032,0.011074455
104,laughing out loud that meme though really hilarious,3,joy,0.97494876,0.0019133012,0.0011873249,0.00059259095,0.97494876,0.0077630254,0.0016957645,0.011899257
105,i do not care you do what you want,0,anger,0.9485437,0.9485437,0.0038978015,0.0024894874,0.024487888,0.0038755336,0.015640132,0.0010654414
106,really that sounds crazy as fuck,0,anger,0.54037917,0.54037917,0.267912,0.01878297,0.0051847394,0.013879655,0.018500056,0.13536136
107,talk to you later got to study for the test,4,neutral,0.46750215,0.007749257,0.0028519684,0.0047061755,0.36505535,0.46750215,0.015660986,0.13647415
108,for real this plan is not going to work,5,sadness,0.5858282,0.044134922,0.014525375,0.007971334,0.0035613386,0.1552959,0.5858282,0.18868303
109,hey are you free next weekend,6,surprise,0.7238995,0.009846601,0.0011807324,0.002354404,0.14779417,0.104604036,0.010320597,0.7238995
110,this is bullshit no way that is true,0,anger,0.6004397,0.6004397,0.3728792,0.0034071803,0.0009948624,0.011686825,0.0061563463,0.004435864
111,no that is not right,0,anger,0.41754624,0.41754624,0.22209829,0.031784385,0.0036706093,0.16942629,0.14708921,0.008384961
112,by the way you still owe me,4,neutral,0.5331709,0.026269183,0.014801086,0.0032210648,0.035850294,0.5331709,0.09366278,0.29302475
113,cant believe you said that shaking my head,2,fear,0.9914173,0.0019288604,0.00048437316,0.9914173,0.0011727258,0.0007221548,0.00079965126,0.0034749678
114,wait a second let me check my schedule,4,neutral,0.92502356,0.017860135,0.0051204246,0.017558213,0.002540509,0.92502356,0.015086115,0.016811054
115,its going to be amazing are you coming,6,surprise,0.7775515,0.0030672457,0.00047760946,0.004849608,0.1978809,0.01164373,0.004529501,0.7775515
116,no that excuse is really weak,4,neutral,0.58914536,0.06934841,0.11625363,0.02957508,0.0087842615,0.58914536,0.10674084,0.08015237
117,right now i am focused do not bother me,0,anger,0.58972365,0.58972365,0.015257264,0.0106180925,0.015103087,0.19981341,0.16123004,0.008254424
118,i know right so annoying,0,anger,0.9319089,0.9319089,0.0015295326,0.0014197901,0.006442596,0.0019207645,0.05390404,0.0028743348
119,yes i got the promotion,3,joy,0.42755768,0.009126473,0.0019701396,0.0025936554,0.42755768,0.12952733,0.026052078,0.4031726
120,ta ta for now have to leave,5,sadness,0.90075684,0.005863719,0.01280081,0.0023217434,0.008904563,0.06266231,0.90075684,0.0066899923
121,i am going to be late see you at,5,sadness,0.9757375,0.005709381,0.00053200714,0.0008164512,0.0032286008,0.0041647865,0.9757375,0.009811289
122,please do not forget to send the file,4,neutral,0.9377999,0.006792465,0.005154951,0.0052033435,0.0034013123,0.9377999,0.026788574,0.014859475
123,whats up are you still up for the meeting,6,surprise,0.51202047,0.012964757,0.0033528067,0.0039380156,0.021723999,0.4202274,0.02577247,0.51202047
124,no that isn t working need to rethink,4,neutral,0.7996927,0.009702857,0.009328742,0.010378224,0.0027251511,0.7996927,0.09356825,0.07460412
125,talk to you later have some errands to run,4,neutral,0.90897244,0.0067366376,0.0028262166,0.0027423145,0.029385744,0.90897244,0.016548764,0.03278789
126,that was amazing laughing out loud,3,joy,0.9214069,0.0015273634,0.0006950375,0.0014500752,0.9214069,0.014349388,0.003205622,0.05736557
127,no that is a lie no way you did that,0,anger,0.4820638,0.4820638,0.19958588,0.010990275,0.00319916,0.2508327,0.037888225,0.015439974
128,ready for the meeting,4,neutral,0.8638344,0.011171958,0.003535642,0.0207794,0.024502002,0.8638344,0.011494677,0.06468194
129,wait a second got to check my notes,4,neutral,0.8917848,0.01090827,0.008225979,0.006253115,0.0066422587,0.8917848,0.01928886,0.05689674
130,no that is not going to work today,5,sadness,0.88727266,0.006523092,0.012095402,0.005061371,0.0021079553,0.056678466,0.88727266,0.030260976
131,yep see you at the place,3,joy,0.7885874,0.0033355567,0.0017248319,0.0011905837,0.7885874,0.075584695,0.010637825,0.11893914
132,for real that is a solid plan,4,neutral,0.5742577,0.017833568,0.0018853489,0.005008629,0.122137904,0.5742577,0.0074891117,0.27138782
133,let me know if you need help with the preparation,4,neutral,0.78885835,0.018214844,0.009644946,0.083803885,0.006929131,0.78885835,0.08080176,0.011747088
134,that idea is amazing as fuck,6,surprise,0.43568566,0.15318856,0.23933885,0.0075268885,0.10968455,0.04620008,0.008375436,0.43568566
135,no cannot join today sorry,5,sadness,0.9697295,0.0015880476,0.0024944483,0.0018310816,0.0012298049,0.018473912,0.9697295,0.0046531223
136,by the way have you seen this its amazing,6,surprise,0.94042104,0.003021024,0.0009475584,0.0013296457,0.033309206,0.017780663,0.0031908883,0.94042104
137,thats so random laughing out loud,6,surprise,0.5392375,0.011864252,0.0063659633,0.0016345239,0.11150726,0.32108966,0.008300825,0.5392375
138,for real i cannot stand this noise,2,fear,0.4415038,0.23747598,0.020533897,0.4415038,0.0046480787,0.0076030088,0.13380817,0.15442713
139,that test was really tough shaking my head,2,fear,0.9912971,0.0014010736,0.0007309739,0.9912971,0.0013012417,0.00060087274,0.0008249627,0.0038438078
140,got to go talk to you later,4,neutral,0.32107064,0.0059628543,0.0030556035,0.0027289973,0.2681151,0.32107064,0.100788295,0.2982785
141,no that is not cool,5,sadness,0.39207104,0.12221891,0.15982977,0.015888661,0.012205559,0.2458955,0.39207104,0.051890533
142,tonights going to be amazing are you in,6,surprise,0.72534895,0.0031887935,0.0007307885,0.006810057,0.23209256,0.02599042,0.0058383867,0.72534895
143,be right back grabbing coffee be back later,4,neutral,0.8720887,0.005274599,0.0019118391,0.0015953435,0.04837394,0.8720887,0.020384952,0.050370667
144,oh my god did you see that,6,surprise,0.9721997,0.0073718377,0.0062159174,0.0031367769,0.0025906882,0.0042360397,0.004249051,0.9721997
145,what are you doing right now need to chat,4,neutral,0.7875553,0.012001003,0.0038833707,0.004891628,0.0085305385,0.7875553,0.03011854,0.15301965
146,no this isn t what i expected,6,surprise,0.9434693,0.005444607,0.0037349334,0.003957987,0.0025214518,0.030919354,0.009952416,0.9434693
147,i know that is really annoying,0,anger,0.80067414,0.80067414,0.0023324438,0.0017894314,0.007753156,0.0021382784,0.17892249,0.0063899094
148,by the way are you done with the report,6,surprise,0.5206983,0.013379431,0.007879866,0.0020523288,0.014352541,0.41578522,0.025852235,0.5206983
149,that concert was amazing as fuck,3,joy,0.6248806,0.018692577,0.01105879,0.008492555,0.6248806,0.01863451,0.0056404537,0.31260046
150,for real this place is really boring,5,sadness,0.90595186,0.013864716,0.011675336,0.0014537051,0.003104532,0.009544148,0.90595186,0.05440568
151,are you free tomorrow lets grab lunch,4,neutral,0.68944085,0.006777289,0.0017358783,0.001629113,0.22604308,0.68944085,0.014649642,0.05972424
152,cant be there i have got stuff to do,5,sadness,0.4375056,0.009963995,0.0049376846,0.0038117827,0.05771738,0.40862834,0.4375056,0.07743526
153,please finish the slides before,4,neutral,0.9454708,0.0059624133,0.006954451,0.0039426023,0.0029119472,0.9454708,0.0138003295,0.020957459
154,ta ta for now got to go now,4,neutral,0.48785302,0.029836956,0.024505438,0.005118825,0.15337291,0.48785302,0.24033152,0.058981393
155,what are you doing later want to hang out,4,neutral,0.68079853,0.010319315,0.0022677723,0.0037741545,0.03367227,0.68079853,0.072130844,0.1970371
156,this weather is really bad,5,sadness,0.7340837,0.040116828,0.07849458,0.037874717,0.008400685,0.04683167,0.7340837,0.05419782
157,let me know if you need anything else,4,neutral,0.95952624,0.0077963946,0.0027442134,0.0025883415,0.0060549933,0.95952624,0.0075100814,0.013779686
158,no that isn t working for me,5,sadness,0.8122116,0.022935526,0.030126346,0.012693159,0.0033580936,0.09770918,0.8122116,0.020966107
159,give me a minute wait a second,4,neutral,0.9421374,0.0071049402,0.00460378,0.007288726,0.007895118,0.9421374,0.01399583,0.016974209
160,that movie was amazing no lie,6,surprise,0.8441664,0.0080803735,0.002669482,0.014837042,0.10492057,0.0210852,0.0042410013,0.8441664
161,hey are you up for the game tomorrow,4,neutral,0.4090593,0.013746864,0.0026439216,0.0075898445,0.1853455,0.4090593,0.020480221,0.36113435
162,talk to you later need some space right now,4,neutral,0.9431367,0.00612116,0.0032224266,0.0025104745,0.007727474,0.9431367,0.012947691,0.024334043
163,are you still in the office,4,neutral,0.47289637,0.006205221,0.0038039861,0.0025505729,0.007820914,0.47289637,0.04969411,0.45702884
164,how about you are you done with the project,4,neutral,0.5818845,0.019528557,0.0037983507,0.005717952,0.012801905,0.5818845,0.025114367,0.35115442
165,no i do not have time for that,5,sadness,0.50459176,0.009101501,0.016060092,0.009674744,0.0042943475,0.42802855,0.50459176,0.028248943
166,this is amazing as fuck you have to try it,6,surprise,0.5281196,0.072329916,0.05937386,0.005220353,0.2316512,0.097553834,0.005751259,0.5281196
167,hey can you send the document,4,neutral,0.5157195,0.014957534,0.002000153,0.0084278975,0.06768495,0.5157195,0.0244778,0.36673215
168,brother you are late again,5,sadness,0.47009805,0.01705156,0.00917923,0.004542153,0.0062108417,0.2911576,0.47009805,0.20176058
169,no that is not going to work,5,sadness,0.8422187,0.011473085,0.018609073,0.0068671918,0.0024134926,0.082534,0.8422187,0.035884485
170,talk to you later got to go right now,4,neutral,0.75467,0.013606223,0.0059649837,0.0051753405,0.04927809,0.75467,0.043102004,0.12820329
171,laughing my ass off this meme was hilarious,3,joy,0.90480024,0.012247474,0.0067342636,0.0013768902,0.90480024,0.052742045,0.0032278579,0.018871326
172,for real i do not know what to do now,6,surprise,0.7064458,0.022530492,0.008893318,0.087460145,0.0020603666,0.04448046,0.12812935,0.7064458
173,whats up are you free after work,6,surprise,0.7178583,0.0154474,0.0022385987,0.0027368586,0.044011146,0.19866447,0.0190432,0.7178583
174,please do not be late today,4,neutral,0.7243972,0.026377067,0.005017818,0.014344152,0.0037913243,0.7243972,0.18766318,0.038409308
175,no i am not feeling great right now,5,sadness,0.63076985,0.0014377434,0.0017602674,0.004612526,0.35180795,0.0051740115,0.63076985,0.004437635
176,ta ta for now got to leave,4,neutral,0.44872385,0.012177787,0.016139647,0.0030012173,0.09085899,0.44872385,0.40066487,0.028433587
177,are you ready for the meeting,4,neutral,0.87070477,0.006995588,0.0020102924,0.010837895,0.024604015,0.87070477,0.0139865475,0.07086082
178,hey let me know as soon as possible,4,neutral,0.6395259,0.041157268,0.003781633,0.023866978,0.1810121,0.6395259,0.058735378,0.05192071
179,no that guy is really suspicious,2,fear,0.83679163,0.013286434,0.010552695,0.83679163,0.0018157398,0.03871078,0.004474637,0.0943681
180,oh my god that was so random,6,surprise,0.9759225,0.004262546,0.005088256,0.002066055,0.002359926,0.006736434,0.0035642665,0.9759225
181,are you going to the party later,4,neutral,0.7294481,0.005459152,0.0035093103,0.0039547784,0.019252593,0.7294481,0.030630056,0.20774606
182,no i cannot make it tonight,5,sadness,0.95860046,0.0028289526,0.0042948984,0.009616656,0.0013147977,0.017688284,0.95860046,0.005655939
183,wait a second let me check something,4,neutral,0.9373998,0.013414908,0.007756689,0.016959842,0.003309418,0.9373998,0.0063689905,0.014790305
184,whats up did you watch the game,6,surprise,0.67327607,0.013033129,0.0027097324,0.0026506844,0.017451802,0.27694875,0.013929812,0.67327607
185,that s awesome for real,3,joy,0.6331972,0.0035693187,0.00093230937,0.001695863,0.6331972,0.046469275,0.007148008,0.3069881
186,hit me up if you need help with that,4,neutral,0.8555895,0.022514544,0.0073801493,0.02581986,0.009518992,0.8555895,0.052889448,0.026287429
187,let me know if you can come tomorrow,4,neutral,0.8781982,0.0095967045,0.0035226278,0.010425657,0.043502368,0.8781982,0.021158744,0.03359564
188,no that isn t what i wanted,4,neutral,0.4310759,0.018824002,0.032314554,0.014955474,0.008844912,0.4310759,0.40282658,0.09115852
189,hey are you in for pizza,6,surprise,0.55534023,0.008701362,0.001893887,0.0030305604,0.25995943,0.15922847,0.011846086,0.55534023
190,seriously that movie was really long,6,surprise,0.7065036,0.010213902,0.007748052,0.003413279,0.007521641,0.2063168,0.05828271,0.7065036
191,got to go have fun tonight,3,joy,0.57349837,0.0050986283,0.0027574254,0.00067972386,0.57349837,0.1108455,0.24010457,0.067015804
192,talk to you later got to leave,4,neutral,0.74873716,0.00805857,0.0059762737,0.0053678136,0.043721113,0.74873716,0.062007386,0.12613168
193,yes i am up for the plan,3,joy,0.4270219,0.013559572,0.0055058477,0.03055791,0.4270219,0.37094343,0.11227768,0.040133704
194,for real this really sucks,1,disgust,0.3951511,0.35123134,0.3951511,0.0052480246,0.0034911323,0.015607,0.20641293,0.022858491
195,no that is really weird,1,disgust,0.8904155,0.012504489,0.8904155,0.037478257,0.002216758,0.010494289,0.010011065,0.036879655
196,yo this song is amazing,6,surprise,0.8384435,0.0033407228,0.00086556154,0.004771658,0.1337117,0.014405312,0.0044615446,0.8384435
