,Informal Text,Expanded Meaning,Polarity
91,"b4 class, gotta finish my notes",before class i need to finish my notes,neutral
92,"gimme a sec, was reviewing da lecture",give me a second wait a second i was reviewing the lecture,negative
93,"omw, b there soon",on my way be there soon,positive
94,"rn, just chillin @ home",right now just relaxing at home,positive
95,"nah, cnt come 2day",no cannot come today,negative
96,"gimme a sec, was finishing sumthin",give me a second wait a second was finishing something,negative
97,"ttyl, gonna grab food",talk to you later going to grab food,positive
98,u hear dat? datâ€™s cray af,did you hear that thats crazy as fuck,negative
99,hmu if u down 4 da movie 2nite,hit me up if you are down for the movie tonight,neutral
100,"datâ€™s sus, not feelin it",thats suspicious i am not feeling it,negative
101,"2moroâ€™s gonna b ðŸ”¥, can't wait",tomorrows going to be amazing cannot wait,positive
102,"brb, gonna grab a bite",be right back going to grab a bite to eat,positive
103,"dat was a close call, no cap",that was a close call no lie,negative
104,"lol, dat meme tho, hilarious af",laughing out loud that meme though really hilarious,positive
105,"idc, u do u",i do not care you do what you want,negative
106,rly? dat sounds wild af,really that sounds crazy as fuck,negative
107,"ttyl, gotta study 4 d test",talk to you later got to study for the test,positive
108,"fr, dis plan ain't gonna work",for real this plan is not going to work,negative
109,"yo, r u free nxt wknd?",hey are you free next weekend,positive
110,"dis is bs, no way datâ€™s true",this is bullshit no way that is true,negative
111,"nah, dat ain't rite",no that is not right,negative
112,"btw, u still owe me $10",by the way you still owe me,positive
113,"cnt believe u said dat, smh",cant believe you said that shaking my head,negative
114,"was, lemme check my sched",wait a second let me check my schedule,neutral
115,"gonna b lit, u coming?",its going to be amazing are you coming,positive
116,"nah, dat excuse is weak af",no that excuse is really weak,negative
117,"rn, im in da zone, don't bug me",right now i am focused do not bother me,negative
118,"ikr, so annoying",i know right so annoying,negative
119,yassss! got da promotion,yes i got the promotion,positive
120,"ttfn, hv 2 bounce",ta ta for now have to leave,negative
121,"imma b late, cya @ 9",i am going to be late see you at,neutral
122,pls dnt forget 2 send da file,please do not forget to send the file,negative
123,sup? u still down 4 da meet?,whats up are you still up for the meeting,positive
124,"nah, dat ain't it, gotta rethink",no that isn t working need to rethink,negative
125,"ttyl, hv sum errands 2 run",talk to you later have some errands to run,neutral
126,"dat was epic, lol",that was amazing laughing out loud,positive
127,"nah, dats cap, no way u did dat",no that is a lie no way you did that,negative
128,rdy 4 da meeting?,ready for the meeting,positive
129,"was, gotta chk my notes",wait a second got to check my notes,negative
130,"nah, dat ain't gonna fly 2day",no that is not going to work today,negative
131,"yep, c u @ da spot",yep see you at the place,positive
132,"fr, dat's a solid plan",for real that is a solid plan,positive
133,lmk if u need help w/ da prep,let me know if you need help with the preparation,neutral
134,dat idea is bomb af,that idea is amazing as fuck,positive
135,"nah, cnt join 2day, sry",no cannot join today sorry,negative
136,"btw, hv u seen dis? it's ðŸ”¥",by the way have you seen this its amazing,positive
137,"dat's so random, lol",thats so random laughing out loud,negative
138,"fr, cnt stand dis noise",for real i cannot stand this noise,negative
139,"dat test was brutal, smh",that test was really tough shaking my head,negative
140,"g2g, ttyl",got to go talk to you later,positive
141,"nah, dat ain't cool",no that is not cool,negative
142,"2nite's gonna b ðŸ”¥, u in?",tonights going to be amazing are you in,positive
143,"brb, grabbin coffee, bbl",be right back grabbing coffee be back later,negative
144,"omg, did u c dat?",oh my god did you see that,negative
145,wyd rn? need 2 chat,what are you doing right now need to chat,positive
146,"nah, dis ain't it chief",no this isn t what i expected,negative
147,"ikr, dat's mad annoying",i know that is really annoying,negative
148,"btw, u done w/ da report?",by the way are you done with the report,neutral
149,dat concert was ðŸ”¥ af,that concert was amazing as fuck,positive
150,"fr, dis place is dead af",for real this place is really boring,negative
151,u free 2mrw? lets grab lunch,are you free tomorrow lets grab lunch,negative
152,"cnt b there, got stuff 2 do",cant be there i have got stuff to do,positive
153,plz finish da slides b4 5,please finish the slides before,negative
154,"ttfn, got 2 go now",ta ta for now got to go now,positive
155,wyd l8r? wanna hang?,what are you doing later want to hang out,positive
156,dis weather sux big time,this weather is really bad,negative
157,lmk if u need anythin else,let me know if you need anything else,neutral
158,"nah, dat ain't workin 4 me",no that isn t working for me,negative
159,"gimme a min, was",give me a minute wait a second,negative
160,"dat movie was ðŸ”¥, no cap",that movie was amazing no lie,positive
161,"yo, u down 4 da game tmr?",hey are you up for the game tomorrow,positive
162,"ttyl, need sum space rn",talk to you later need some space right now,neutral
163,u still in da office?,are you still in the office,neutral
164,hbu? u done w/ da proj?,how about you are you done with the project,positive
165,"nah, ain't got time 4 dat",no i do not have time for that,negative
166,"dis is ðŸ”¥ af, gotta try it",this is amazing as fuck you have to try it,positive
167,"yo, can u send da doc?",hey can you send the document,negative
168,"bruh, u late again",brother you are late again,positive
169,"nah, dat ain't gonna fly",no that is not going to work,negative
170,"ttyl, gotta go rn",talk to you later got to go right now,positive
171,"lmao, dis meme killed me",laughing my ass off this meme was hilarious,positive
172,"fr, idk wat 2 do now",for real i do not know what to do now,neutral
173,"sup, u free afta work?",whats up are you free after work,negative
174,plz dnt b late 2day,please do not be late today,negative
175,"nah, ain't feelin gr8 rn",no i am not feeling great right now,negative
176,"ttfn, gotta bounce",ta ta for now got to leave,negative
177,r u ready 4 da meetin?,are you ready for the meeting,positive
178,"yo, lemme kno asap",hey let me know as soon as possible,positive
179,"nah, dat dude sus af",no that guy is really suspicious,negative
180,"omg, dat was so random",oh my god that was so random,negative
181,u goin 2 da party l8r?,are you going to the party later,neutral
182,"nah, cnt make it 2nite",no i cannot make it tonight,negative
183,"was, let me chk smthin",wait a second let me check something,negative
184,"sup, u watch da game?",whats up did you watch the game,neutral
185,"datâ€™s sick, fr",that s awesome for real,positive
186,hmu if u need help w/ dat,hit me up if you need help with that,neutral
187,lmk if u can come 2moro,let me know if you can come tomorrow,positive
188,"nah, dat ain't wat i wanted",no that isn t what i wanted,negative
189,"yo, u in 4 pizza?",hey are you in for pizza,positive
190,"srsly, dat movie was long af",seriously that movie was really long,negative
191,"g2g, hv fun 2nite!",got to go have fun tonight,positive
192,"ttyl, gotta jet",talk to you later got to leave,negative
193,"yup, im down 4 da plan",yes i am up for the plan,positive
194,"fr, dis sux big time",for real this really sucks,negative
195,"nah, dat's mad weird",no that is really weird,negative
196,"yooo, dis songâ€™s ðŸ”¥",yo this song is amazing,positive
197,"brb, gonna grab a bite",be right back going to grab something to eat,negative
198,r u still game 4 2nite?,are you still up for tonight,positive
199,"cnt talk now, in a mtg",cant talk now i am in a meeting,positive
200,wyd l8r? movie n chill?,what are you doing later movie and hangout,positive
201,fr? datâ€™s wild af,for real thats really crazy,negative
202,"nah, imma stay home 2nite",no i am going to stay home tonight,negative
203,"gonna hit da gym, u in?",going to the gym are you coming,positive
204,"wtf, datâ€™s messed up",what the fuck that is messed up,negative
205,"nah, dat dude sketchy af",no that guy is really suspicious,negative
206,plz donâ€™t b late dis time,please do not be late this time,negative
207,"yo, u c da news bout dat?",hey did you see the news about that,negative
208,"imma b late, trainâ€™s delayed",i am going to be late the train is delayed,negative
209,"np, lemme know if u need anythin",no problem let me know if you need anything,positive
210,"ttyl, got sum work 2 finish",talk to you later got some work to finish,neutral
211,"lmao, canâ€™t stop laughin at dis",laughing my ass off i cannot stop laughing at this,negative
212,"was, lemme check dat 4 u",wait a second let me check that for you,neutral
213,"dat quiz was brutal af, fr",that quiz was brutal as fuck for real,negative
214,"nah, ainâ€™t feelin it 2day",no i am not in the mood today,negative
215,wru? been waitin 4 u 4ever,where are you i have been waiting for you forever,positive
216,"ik, dis class is boring af",i know this class is really boring,negative
217,"dis party's dead, ngl",this party is boring not gonna lie,negative
218,"omg, datâ€™s insane!",oh my god that is insane,negative
219,wyd 2moro? letâ€™s catch up,what are you doing tomorrow lets catch up,positive
220,"dat was savage, lol",that was savage laughing out loud,negative
221,"yo, u up? need 2 talk",hey are you awake i need to talk,negative
222,pls send da doc by eod,please send the document by the end of the day,negative
223,"bfn, gotta run errands",bye for now i ve got to run some errands,positive
224,"srsly, dis is takin 4ever",seriously this is taking forever,positive
225,"ttyl, need sum me time",talk to you later i need some time for myself,positive
226,"nah, dis weather sux",no this weather sucks,negative
227,u comin 2 da game 2nite?,are you coming to the game tonight,positive
228,dat movie was dope af!,that movie was really cool,positive
229,"gimme a sec, bbl",give me a second be back later,neutral
230,"nah, not goin out tnite",no i am not going out tonight,negative
231,"cnt believe u did dat, smh",cant believe you did that shaking my head,negative
232,"fr, dat was wild af",for real that was really crazy,negative
233,"dis coffeeâ€™s lit, ngl",this coffee is amazing not gonna lie,positive
234,"idc, do wut u want",i don t care do what you want,negative
235,"smh, dis is trash af",shaking my head this is really bad,negative
236,"ttyl, gonna take a nap",talk to you later i m going to take a nap,positive
237,"omg, dis memeâ€™s hilarious!",oh my god this meme is hilarious,positive
238,"nah, dat ainâ€™t workin 4 me",no that isn t working for me,negative
239,"g2g, lmk if u need sumthin",got to go let me know if you need something,negative
240,"sup, u free l8r?",whats up are you free later,neutral
241,"nah, dis ainâ€™t wat i expected",no this is not what i expected,negative
242,"dat exam was tough af, smh",that exam was really tough shaking my head,negative
243,"c u l8r, gonna chill @ home",see you later going to relax at home,positive
244,"brb, gotta finish dis assignment",be right back got to finish this assignment,positive
245,"brb, gotta grab sum food",be right back got to grab some food,neutral
246,"ttyl, gotta bounce!",talk to you later got to leave,negative
247,"smh, ppl these days, fr",shaking my head people these days for real,positive
248,"yo, u seen da news?",hey have you seen the news,positive
249,"u gotta c dis meme, lmao!",you have to see this meme laughing my ass off,negative
250,dis hw is killing me rn,this homework is killing me right now,positive
251,"sup, wanna chill l8r?",whats up want to hang out later,neutral
252,"nah, dat ain't my thing, bro",no that is not my thing brother,negative
253,"omw, b there in 5",on my way be there in minutes,positive
254,"lol, dat was wild!",laughing out loud that was crazy,negative
255,r u still down 4 2mrw?,are you still up for tomorrow,positive
256,2niteâ€™s party gonna b insane,tonights party is going to be insane,negative
257,cnt wait 4 da wknd!,cant wait for the weekend,neutral
258,"was, lemme check sumthin",wait a second let me check something,negative
259,"fr, dat test was brutal af",for real that test was brutal as fuck,negative
260,"nah, I ainâ€™t rdy 4 dat",no i am not ready for that,negative
261,"omg, dis traffic's bs",oh my god this traffic is bullshit,negative
262,wyd? wanna grab coffee?,what are you doing want to grab coffee,positive
263,dat event's gonna be ðŸ”¥,that event is going to be fire,negative
264,"gonna crash soon, hella tired",going to sleep soon i am really tired,negative
265,"pls lemme know asap, kinda urgent",please let me know as soon as possible it s kind of urgent,neutral
266,"dude, u gotta b kidding me",dude you ve got to be kidding me,negative
267,"smh, dis Wi-Fi sux",shaking my head this wifi sucks,negative
268,"nah fam, dat ain't happenin",no fam that isn t happening,negative
269,"bruh, dis dayâ€™s too long",bro this day is too long,negative
270,"lmk if u need help, np!",let me know if you need help no problem,positive
271,"yup, da meeting's @ 10am",yep the meeting is at am,positive
272,"nah, dat excuse ain't workin",no that excuse is not working,negative
273,"fr, dat was da best vacation",for real that was the best vacation,positive
274,"gonna b late, stuck in traffic",going to be late stuck in traffic,negative
275,"idk, datâ€™s kinda risky",i don t know that s kind of risky,neutral
276,"cnt believe u did dat, lol",cant believe you did that laughing out loud,negative
277,"btw, u hv da docs 4 da meeting?",by the way do you have the documents for the meeting,neutral
278,"datâ€™s so extra, lol",that s so over the top laughing out loud,negative
279,"sup, u wanna study 2mrw?",whats up do you want to study tomorrow,positive
280,"nah, da food was trash",no the food was really bad,negative
281,"dis convoâ€™s lit af, ngl",this conversation is amazing as fuck not gonna lie,positive
282,"2mrwâ€™s deadline? smh, I ain't prepped",tomorrows deadline shaking my head i m not prepared,negative
283,"ttyl, got sumthin 2 handle rn",talk to you later got something to handle right now,positive
284,"bruh, dat was savage af!",bro that was really savage,negative
285,"gimme a break, datâ€™s 2 much",give me a break that is too much,negative
286,"tbh, I ain't feelin dis project",to be honest i am not feeling this project,negative
287,rdy 4 da game? hmu l8r,ready for the game hit me up later,positive
288,"yo, dat diff eq is a pain, smh",hey that differential equation is really difficult shaking my head,negative
289,"g2g, calc 2 got me stressinâ€™ af",got to go calculus has me stressing out,neutral
290,"was, did u finish da Fourier series probs?",wait a second did you finish the fourier series problems,negative
291,"fr, dat Laplace transform q was brutal",for real that laplace transform question was brutal,negative
292,"nah fam, dis statics prob got me stuck af",no fam this statics problem has me completely stuck,negative
293,"yo, gimme da notes on da triple integrals",hey give me the notes on the triple integrals,positive
294,dat matrix det is lowkey tricky af,that matrix determinant is secretly very tricky,positive
295,"ffs, da eigenvalues calc ain't working",for fuck s sake the eigenvalue calculation isn t working,negative
296,"smh, dat beam deflection eq got me lost",shaking my head that beam deflection equation got me completely lost,negative
297,"yo, dis circuit analysis q is a b*tch",hey this circuit analysis question is really tough,negative
298,"rn, Iâ€™m strugglin w/ dat nonlinear dynamics",right now i m struggling with that nonlinear dynamics topic,negative
299,"nah, dat Navier-Stokes eq is impossible",no that navierstokes equation is impossible,negative
300,"g2g, gotta figure out da moment of inertia",got to go i need to figure out the moment of inertia,neutral
301,"was, check dis kinematic eq for me, plz",wait a second check this kinematic equation for me please,neutral
302,"nah man, dat stability analysis is bs",no man that stability analysis is bullshit,negative
303,"ffs, da Fourier transform is messin me up",for fucks sake the fourier transform is messing me up,negative
304,"yo, dis Laplace inv rly confusin af",hey this inverse laplace transform is really confusing as fuck,negative
305,"bruh, da thermo eq r nuts!",bro the thermodynamic equations are crazy,negative
306,"nah, I can't w/ these partial diff eqs rn",no i can t deal with these partial differential equations right now,negative
307,"ffs, still can't solve dat trig integral",for fucks sake i still can t solve that trigonometric integral,negative
308,"nah, was, dat Fourier inversion is insane",no wait a second that fourier inversion is insane,negative
309,"dis is mad, Lagrange multips r killin me",this is crazy lagrange multipliers are killing me,negative
310,"imma b late, dis control system q is hard af",i m going to be late this control system question is really hard,negative
311,"nah, donâ€™t even mention da boundary cond probs",no don t even mention the boundary condition problems,negative
312,"yo, dat C++ algo is mad confusing",hey that c algorithm is really confusing,negative
313,"ffs, da inverse matrix probs r trash",for fuck s sake the inverse matrix problems are really bad,negative
314,"bruh, dat Bessel function calc is wild",bro that bessel function calculation is wild,positive
315,"yo, wtf, dis resonance freq calc got me",hey what the fuck this resonance frequency calculation got me stuck,negative
316,"nah fam, I ain't gettin dis stress-strain curve",no fam i m not understanding this stressstrain curve,negative
317,"dat Fourier series legit trippy af, fr fr",that fourier series is legitimately trippy as fuck for real,negative
318,"nah bruh, solving dat transfer func ain't workin",no bro solving that transfer function isn t working,negative
319,"yo, dis fluid dynamics eq is a beast!",hey this fluid dynamics equation is really difficult,negative
320,"ffs, dat Kalman filter design ain't adding up",for fucks sake that kalman filter design isn t making sense,negative
321,"nah man, dat beam bending moment q is ass",no man that beam bending moment question is really difficult,negative
322,"was, gotta redo dat thermodynamics derivation",wait a second got to redo that thermodynamics derivation,negative
323,dis Laplace stuff fryin my brain,this laplace transform material is frying my brain,negative
324,"yo, imma dip, da stats hw too tough",hey i m going to leave the statistics homework is too tough,negative
325,"nah fam, dis integrals hw gonna take all nite",no fam this integrals homework is going to take all night,positive
326,"ffs, these boundary cond eqs got me dead",for fucks sake these boundary condition equations are killing me,negative
327,"dat Fourier transform got me lost af, bruh",that fourier transform got me lost as fuck bro,negative
328,"was, need a cheat sheet 4 these probs",wait a second i need a cheat sheet for these problems,negative
329,dat stress analysis q is trippy af,that stress analysis question is really confusing,negative
330,got dat Q4 rpt? need 2 review b4 mtg,got that report need to review before the meeting,positive
331,"was, let's sync on da proj status",wait a second let us synchronize on the project status,neutral
332,"tbh, dis P&L looking weak af",to be honest this profit and loss statement is looking really weak,negative
333,"dat ROI is shit, need 2 tweak da strat",that return on investment is terrible we need to tweak the strategy,negative
334,"yo, da CEO wasnâ€™t happy bout dat KPI drop",hey the ceo wasn t happy about that key performance indicator drop,negative
335,"smh, we need a pivot asap, marketâ€™s movin",shaking my head we need a pivot as soon as possible the market is moving,negative
336,"fyi, dat proposal was approved",for your information that proposal was approved,positive
337,"nah fam, dis forecast ainâ€™t hittin da tgt",no this forecast isn t hitting the target,negative
338,"g2g, client callin 4 follow-up",got to go the client is calling for a followup,negative
339,"bruh, datâ€™s a solid biz plan, fr fr",bro that s a solid business plan for real for real,positive
340,"btw, dat deal gonna close by eow",by the way that deal is going to close by the end of the week,neutral
341,"dat revenue proj is lowkey fire, no cap",that revenue projection is actually great no lie,positive
342,"yo, need 2 align w/ finance b4 da budget mtg",hey need to align with finance before the budget meeting,neutral
343,"np, weâ€™ll circle back on dis next wk",no problem we ll revisit this next week,positive
344,dis market analysis lowkey sucks,this market analysis is secretly bad,negative
345,"gtg, cfo needs an update on da exp rpt",got to go the cfo needs an update on the expense report,neutral
346,"fr, datâ€™s how we scale in Q1",for real that is how we scale in the first quarter,neutral
347,"nah man, dat cost-benefit ain't adding up",no that costbenefit analysis isn t making sense,negative
348,"imho, we need more r&d on dis b4 launch",in my humble opinion we need more research and development on this before the launch,neutral
349,"yo, gotta adjust dat pricing model asap",hey got to adjust that pricing model as soon as possible,positive
350,dat EBITDA growth is trash rn,that earnings before interest taxes depreciation and amortization growth is terrible right now,negative
351,dis deal's gonna be lit if we close on time,this deal s going to be amazing if we close on time,positive
352,"ffs, da competitorâ€™s offer is better af",for fuck s sake the competitor s offer is much better,negative
353,"nah, dis supply chain issues r killin margins",no these supply chain issues are hurting our margins,negative
354,"yo, was, gotta renegotiate terms b4 sign-off",wait a second got to renegotiate terms before the signoff,negative
355,"smh, our cash flow is tight af rn",shaking my head our cash flow is really tight right now,negative
356,dat customer churn rate is too high,that customer churn rate is too high,negative
357,"gtfo, we missed da Q2 tgt by 20%!",get the fuck out we missed the target by,negative
358,"yo, need 2 review da CAPEX plan asap",hey need to review the capital expenditure plan as soon as possible,neutral
359,"nah man, dis pivot is risky af",no this pivot is risky as fuck,negative
360,lmk if we got buy-in from all da stakeholders,let me know if we got buyin from all the stakeholders,negative
361,"was, imma send da revised deck b4 noon",wait a second i m going to send the revised presentation before noon,negative
362,"dat's tight af, hope we hit dat quarterly",that s really tight hope we hit that quarterly target,negative
363,"ffs, i gotta prep 4 dat board mtg",for fuck s sake i ve got to prepare for that board meeting,positive
364,"yo, our revenue projections r sus rn",hey our revenue projections are suspicious right now,negative
365,"dat's a lowball offer, wtf",thats a really low offer what the fuck,negative
366,"nah bruh, dat NPV calc is off, check it",no bro that net present value calculation is wrong check it,negative
367,"ffs, da CFOâ€™s askin 4 budget cuts again",for fucks sake the cfo is asking for budget cuts again,negative
368,"yo, market volatilityâ€™s crazy, fr fr",hey the market volatility is crazy for real for real,negative
369,dat sales tgt is lowkey impossible 2 hit,that sales target is secretly impossible to hit,negative
370,"was, gotta finalize dis contract b4 EOD",wait a second got to finalize this contract before the end of the day,negative
371,"nah, dat marketing strat ain't working",no that marketing strategy isn t working,negative
372,"yo, CEO said we need 2 cut headcount asap",hey the ceo said we need to cut headcount as soon as possible,neutral
373,"lol, dat was smh dumb af, fr fr",laughing out loud that was shaking my head dumb as fuck for real for real,negative
374,"was, dis ain't working, imma dip",wait a second this is not working i m going to leave,negative
375,"gtfo, datâ€™s bs, iâ€™m ovr it",get the fuck out that s bullshit i m over it,negative
376,u down 2 link @ 9?,are you down to meet at,neutral
377,"yo, idk wtf happen'd ystrdy",yo i don t know what the fuck happened yesterday,negative
378,dat tech mtg was dead af,that technology meeting was boring as fuck,negative
379,"gotta hdl dis shit, brb",got to handle this shit be right back,positive
380,"was, dis projectâ€™s fucked 4real",wait a second this project is fucked for real,negative
381,"btw, ur xam prep is lit af?",by the way is your exam preparation really good as fuck,positive
382,"np, imma pull up l8r",no problem i m going to show up later,positive
383,"ik, dat's bs af, need 2 fix it",i know that s bullshit as fuck need to fix it,negative
384,rdy 2 go? we heading out @ 8,ready to go we re heading out at,positive
385,"smh, u still w dat weak plan?",shaking my head you are still with that weak plan,negative
386,wyd rn? wanna dip 2 da club?,what are you doing right now want to leave for the club,positive
387,"dat game was fire af, no cap",that game was amazing as fuck no lie,positive
388,"bruh, u 4got 2 call me last nite",bro you forgot to call me last night,positive
389,"ttyl, g2g handle sm ish",talk to you later got to go handle some issues,neutral
390,"nah fam, canâ€™t deal w dat rn",no i can t deal with that right now,negative
391,"lmao, i died readin dat text",laughing my ass off i died reading that text,negative
392,"imma b late, was w da boss",i m going to be late wait a second i was with the boss,negative
393,"ffs, dis wifi is garbage af",for fucks sake this wifi is garbage as fuck,negative
394,"wtf, how dat even happen?",what the fuck how did that even happen,negative
395,"yo, dat project due tmrw, imma stay up",hey that project is due tomorrow i m going to stay up,negative
396,"nah, datâ€™s BS, don't f w dat",no that s bullshit don t mess with that,negative
397,"ngl, dat was weak af, not worth it",not going to lie that was weak as fuck not worth it,negative
398,"yo, hmu b4 u leave, gotta talk",hey hit me up before you leave we have to talk,negative
399,"was, sry but imma b late 4 da call",wait a second sorry but i m going to be late for the call,neutral
400,"rn, can't do dis, smh af",right now can t do this shaking my head as fuck,negative
401,"yo, datâ€™s some weak af plan",hey that s a really weak as fuck plan,negative
402,"ffs, dat game was trash, bruh",for fuck s sake that game was terrible bro,negative
403,ykwim? imma drop by toni8,you know what i mean i m going to drop by tonight,negative
