serial,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
29,no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,5,sadness,0.5998996,0.043644782,0.004286182,0.006687202,0.07701349,0.18613903,0.5998996,0.08232971
30,guess that depends on if you want to be on the jury,4,neutral,0.9461511,0.007375106,0.011575134,0.003557925,0.004908292,0.9461511,0.008408089,0.01802437
31,resorted to eating mickey ds alone,5,sadness,0.6586576,0.012601839,0.004861136,0.00598023,0.004501751,0.2904439,0.6586576,0.02295357
32,there is a faux gothy chick looking at me sorry i am not going to camden and i like poppunk and jimmy eat world,6,surprise,0.5798673,0.003498057,0.003106187,0.003108916,0.018179305,0.061096683,0.3311435,0.5798673
33,did he ask for your tw id ,4,neutral,0.37643424,0.0804437,0.039462578,0.3558678,0.003761429,0.37643424,0.03926639,0.104763865
34,whered you go,0,anger,0.5446307,0.5446307,0.087417,0.01178578,0.00969426,0.24644901,0.06878087,0.03124243
35,watching body of liesgood film,3,joy,0.8046334,0.005505126,0.006812033,0.002375,0.8046334,0.117568076,0.030245628,0.032860804
36,happy mothers day mumm xoxo,3,joy,0.81211746,0.003134879,0.000660157,0.000568877,0.81211746,0.01450418,0.031338565,0.13767591
37,so i really need to put the laptop down  start getting ready for shindigbut ive missed my twitterloves all day,5,sadness,0.8921968,0.003115591,0.000672283,0.001530268,0.03275825,0.026732212,0.8921968,0.042994548
38,im sorry at least its friday,5,sadness,0.92313385,0.001244813,0.000777615,0.001221593,0.015183043,0.01568164,0.92313385,0.042757414
39,feels sorry every time im printing out i use like  new papers,5,sadness,0.98585093,0.000957858,0.000539982,0.001197253,0.002488996,0.002916196,0.98585093,0.006048772
40,u from n u tweet too much,4,neutral,0.3586923,0.014514464,0.001646924,0.002887791,0.033411168,0.3586923,0.34768566,0.24116167
41,i always forget something when i travel i am at newark airport,5,sadness,0.56392235,0.012283667,0.002385503,0.008604088,0.007043392,0.0764362,0.56392235,0.32932484
42,should have left car and walked home i might need someone to rescue me with petrol light flashing,5,sadness,0.55008954,0.14636955,0.001354401,0.22702141,0.007502837,0.015920114,0.55008954,0.05174209
43,im only updating this so that bretts phone beeps but really looking at wedding stuff againfor the next five months,5,sadness,0.4127188,0.006493857,0.001403344,0.003339288,0.10285401,0.30212465,0.4127188,0.17106606
44,hi there i agree small children should be running about happy not breaking down in tears,3,joy,0.75544035,0.006751789,0.001249988,0.000900165,0.75544035,0.058201138,0.10713315,0.07032337
45,hope ur havin fun in da club,3,joy,0.6767315,0.014503851,0.007767764,0.002483832,0.6767315,0.26289544,0.019336296,0.01628128
46,i miss my old phone it worked so good until i dropped it i want a new one for my birthday,5,sadness,0.9196272,0.003411789,0.000561822,0.000891632,0.047487844,0.009824469,0.9196272,0.018195251
47,thinks sg is wonderful,3,joy,0.37109017,0.00213836,0.002304729,0.002254386,0.37109017,0.039113786,0.2844198,0.2986788
48,im really sorry i know wallah how u feel,5,sadness,0.9771818,0.000945322,0.000663473,0.001190397,0.004148727,0.004790882,0.9771818,0.011079404
49,not happy,5,sadness,0.98571706,0.001413255,0.000492211,0.000359951,0.001982021,0.004302045,0.98571706,0.005733445
50,is watching acoustic performances  in the mood for a good friends episode i miss that show,5,sadness,0.5542007,0.002704984,0.000754458,0.000732193,0.4111476,0.012317237,0.5542007,0.01814287
51,ill oscillate from one to the other,4,neutral,0.45214897,0.080365755,0.013932292,0.10294719,0.026282175,0.45214897,0.11457371,0.20974992
52,im so very tiredand have insomnia,5,sadness,0.97787035,0.005302282,0.000312558,0.003038569,0.002975475,0.005969164,0.97787035,0.004531645
53,thanks ennio,4,neutral,0.8070149,0.003811878,0.001451267,0.001302102,0.030824658,0.8070149,0.033859413,0.121735804
54,you should totally come get me and bring me to kelslaws house with you,0,anger,0.42123693,0.42123693,0.013863877,0.02594378,0.110285684,0.27504885,0.027820239,0.12580062
55,you seem nice youre generous and you know your stuff,3,joy,0.8869074,0.026330793,0.003727956,0.000713593,0.8869074,0.05972164,0.005838147,0.016760366
56,u so dirrrrrty why oh why did i pick the hawks i figured i needed a longshot and they were a better bet than car,6,surprise,0.7776716,0.008370953,0.001176592,0.00329176,0.05043999,0.048355278,0.11069383,0.7776716
57,almost got a kitty yesterdaybut it didnt work out,5,sadness,0.897885,0.003459643,0.00113713,0.005115791,0.003777957,0.023419207,0.897885,0.06520525
58,reality needs to check in schools over time to party not tonight tho im going to bed night night,4,neutral,0.69609994,0.007744607,0.00430819,0.006292061,0.027327005,0.69609994,0.20123243,0.056995798
59,caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan,3,joy,0.98684734,0.000845268,0.000480267,0.000223258,0.98684734,0.003076651,0.006603113,0.001924111
60,i still dont know what we would do though,5,sadness,0.43613905,0.048404507,0.005092097,0.110088244,0.039360628,0.20930101,0.43613905,0.15161441
61,xo dang it so its not certain    are you okay,6,surprise,0.37478587,0.006686933,0.001608571,0.010249657,0.07421621,0.19812505,0.33432776,0.37478587
62,change of plans i am staying in brandon no papaya salad for me,4,neutral,0.35646546,0.007972932,0.001799267,0.00390029,0.2174737,0.35646546,0.25566566,0.1567226
63,dear rain you suck now i gotta change my plans for tonight,5,sadness,0.9053395,0.015055329,0.027400794,0.014796274,0.004103096,0.027025668,0.9053395,0.006279383
64,at starbucks with my love i have work later too,3,joy,0.8337952,0.002154789,0.000414319,0.001718857,0.8337952,0.06221865,0.05395939,0.04573875
65,i just cried whilst watching hollyoaks  i need a life lol,5,sadness,0.8238811,0.002207701,0.000348146,0.002059924,0.124055095,0.010208677,0.8238811,0.03723925
66,hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,3,joy,0.9232579,0.001354361,0.000250896,0.000585989,0.9232579,0.013460219,0.010664135,0.05042661
67,terminator salvation by myself,4,neutral,0.56420004,0.020006087,0.014291957,0.07066721,0.21734488,0.56420004,0.07643226,0.037057538
68,fortheloss dumbface him not u what u up to on the wknd i wanna seeeeeee ya,5,sadness,0.6275216,0.06469249,0.019614225,0.007843221,0.03739703,0.13972028,0.6275216,0.10321117
69,why do i have to enter my registration details every time i update,6,surprise,0.61249435,0.060918525,0.00678946,0.037602942,0.002810684,0.2310407,0.048343405,0.61249435
70,on the monday so i wont be able to be with you i love you,5,sadness,0.98748165,0.001280042,0.000526503,0.000496212,0.002531742,0.003500975,0.98748165,0.004182868
71,ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek make more flicks,3,joy,0.7109439,0.004653905,0.000269226,0.00301359,0.7109439,0.039144773,0.03555422,0.20642042
72,tgifi think i broke my toe last night  on my bad foot,5,sadness,0.8066596,0.006470872,0.001164632,0.022065368,0.011130749,0.026786663,0.8066596,0.12572215
73,brb i had a party on saturday ,3,joy,0.44577497,0.097092934,0.007650313,0.28253177,0.44577497,0.016487412,0.13120945,0.019253168
74,lamont yr very young looking dude,4,neutral,0.69517493,0.006763136,0.005388287,0.004525778,0.046490986,0.69517493,0.021927694,0.21972921
75, hmmm wrong link ignore my tweet,4,neutral,0.4844018,0.011752793,0.004733732,0.006810067,0.004108731,0.4844018,0.34401447,0.14417845
76,att cheated the system and now i have no green day tickets,5,sadness,0.51616865,0.40403742,0.01919225,0.002347378,0.003080954,0.025469309,0.51616865,0.029704016
77,tracy and berwick breaks my achy breaky heart they split ways in the hallways,5,sadness,0.980939,0.001230638,0.000592169,0.000588377,0.003183343,0.006358255,0.980939,0.007108301
78,yep i wish they were all playing dubiln,5,sadness,0.4009095,0.003339791,0.007519494,0.009567251,0.014050975,0.20081612,0.4009095,0.3637968
79,im a lady and ladies dont move couches they direct where the couches go,4,neutral,0.31141016,0.051645484,0.013086659,0.015146713,0.024578584,0.31141016,0.3111364,0.27299598
80,yay for block party youre the bomb blockheads  dave thanks for supporting,3,joy,0.9155276,0.002675839,0.000640007,0.000602764,0.9155276,0.027682887,0.009185084,0.04368587
81,th february,5,sadness,0.37432545,0.025450572,0.006712752,0.016493944,0.09056467,0.3691659,0.37432545,0.11728669
82,guess what mom adopted a kitty today  months his name is corky,6,surprise,0.5521668,0.005081101,0.000809549,0.001440178,0.29234377,0.095491976,0.052666616,0.5521668
83,happy birthday snickers  i hope you have the best day ever lets go shopping,3,joy,0.78166056,0.002393856,0.000465342,0.000611487,0.78166056,0.028788289,0.022240097,0.16384031
84,thank you im working on s,3,joy,0.72527033,0.008979587,0.000932603,0.003713487,0.72527033,0.14549415,0.03510814,0.08050172
85,lol man i got    hrs an iont how i woulda made it wit out my ramen noodles and tv time,6,surprise,0.6136556,0.0048323,0.000710508,0.002134093,0.22887442,0.09746458,0.052328482,0.6136556
86,not feeling all that well today,5,sadness,0.9825168,0.000965986,0.000669138,0.000619889,0.009411436,0.003566055,0.9825168,0.002250677
87,  my ear hurts and this is my medicine,5,sadness,0.93271303,0.004777403,0.00338763,0.01021918,0.002474172,0.024307838,0.93271303,0.022120764
88,berland lmao i know i know,4,neutral,0.7338072,0.005283382,0.00520653,0.007660852,0.050392106,0.7338072,0.07125348,0.12639652
89,gnight shar,4,neutral,0.8649961,0.01579589,0.004729971,0.024239201,0.033499092,0.8649961,0.032951534,0.02378824
90,happy mothers day,3,joy,0.85066134,0.004319701,0.000608002,0.00065839,0.85066134,0.010561635,0.00904407,0.124146864
91,yes ill brb soon,4,neutral,0.32506523,0.003079422,0.001970242,0.003795444,0.14241602,0.32506523,0.3214173,0.20225638
92,i cant call mitch im from sweden,5,sadness,0.82298297,0.004409233,0.000435228,0.00654716,0.046617493,0.03575714,0.82298297,0.08325073
93,happy star wars day may the fourth be with you,3,joy,0.8754059,0.003131402,0.00049907,0.000522952,0.8754059,0.0119556,0.008036458,0.100448616
94,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,2,fear,0.77604085,0.025958713,0.07922501,0.77604085,0.013105285,0.001421351,0.08168937,0.022559376
95,i just watched marley  mei cried so hard,5,sadness,0.74393076,0.005098763,0.000277687,0.003534367,0.08861377,0.009831733,0.74393076,0.14871298
96,take antibacterial to school to clean your hands when you cant go the loos,4,neutral,0.7349069,0.027740382,0.1543406,0.021879494,0.007973773,0.7349069,0.03757327,0.015585539
97,im leaving work now trying to decide if i return on sunday afternoon or monday  am to meet a noon uk time deadline,5,sadness,0.85022783,0.00682228,0.000462726,0.005216259,0.059324827,0.030866465,0.85022783,0.04707963
98,haaawwell i get out of class at i hope i make it,6,surprise,0.5839578,0.010330314,0.002788969,0.006439114,0.2134755,0.08612437,0.0968839,0.5839578
99,oooh sunshine a patch of sunshine and it will be gone by the time i leave work,3,joy,0.38478026,0.002895041,0.001879074,0.00241018,0.38478026,0.04401949,0.20263016,0.3613858
100,skype call with billie but my webcam dont work,5,sadness,0.78975064,0.01272226,0.005231832,0.0066209,0.00299353,0.07788832,0.78975064,0.10479249
101,just had a great study time followed by a delicious japanese meal with arty now trying to get back into the study mood,3,joy,0.92932475,0.001335557,0.000641463,0.000516121,0.92932475,0.041617848,0.005895231,0.020668985
102,fml not having a car is prohibiting finding a job,5,sadness,0.74096626,0.048750482,0.021747267,0.02326308,0.002703529,0.15386045,0.74096626,0.008709027
103,lol since i got twitter a little while ago it seems like loads of people setting up an account,6,surprise,0.7747903,0.005339702,0.00102554,0.001699623,0.07562381,0.12849253,0.013028489,0.7747903
104,i want to see david cook,3,joy,0.9863974,0.002453508,0.000239817,0.000759965,0.9863974,0.001054019,0.007535118,0.00156015
105,yeh me ,2,fear,0.6913564,0.10790215,0.04541415,0.6913564,0.031943794,0.073334545,0.036482863,0.013566011
106,din i dont have much time,4,neutral,0.57330257,0.0072131,0.010420946,0.004941057,0.007551428,0.57330257,0.31743607,0.07913483
107,i dont want to do anything specific i just want to see you and puppy,3,joy,0.97905153,0.003426392,0.000338908,0.000708682,0.97905153,0.001837101,0.013230231,0.001407099
108,yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,5,sadness,0.6175133,0.009005359,0.00577366,0.004299117,0.041452408,0.19135034,0.6175133,0.13060585
109,wdym i dont wanna talk,5,sadness,0.88307005,0.006666658,0.012281598,0.005733706,0.008194249,0.07017319,0.88307005,0.013880514
110,toy story  trailer premiered with up i need my computer back,3,joy,0.5043298,0.0060791,0.000544499,0.002896505,0.5043298,0.087288536,0.018593473,0.38026804
111,ughh on the phone with hp,6,surprise,0.54224795,0.009545934,0.013459434,0.011626002,0.025996596,0.22576712,0.17135698,0.54224795
112,and hand made by dan  jenn sock blockers  made from exotic woods  one of which is called purple heart,4,neutral,0.5027635,0.003778318,0.001562255,0.00143416,0.24509607,0.5027635,0.034179553,0.21118614
113,yay about breaking ,3,joy,0.670781,0.054834776,0.006051179,0.07171008,0.670781,0.15798146,0.029264651,0.009376854
114,bahah sadly i am not,5,sadness,0.9392301,0.000916946,0.00108756,0.005867266,0.002286629,0.012885518,0.9392301,0.037726022
115,i always have those for my champions league parties tis awesome,3,joy,0.9217296,0.001934778,0.000465395,0.000808635,0.9217296,0.012522444,0.006141689,0.0563975
116,well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz,3,joy,0.5543965,0.00869384,0.003196444,0.002174346,0.5543965,0.28651035,0.086893946,0.05813459
117,adel they didnt reply yet wait till they confirm in case somebody might have translated it already,4,neutral,0.90989757,0.005427536,0.002177555,0.002753363,0.004884895,0.90989757,0.02210563,0.052753456
118,thats rough hubby had knee surgery but it did help him in the end let us know the results well keep him in our prayers,5,sadness,0.74132824,0.005232472,0.00684763,0.008120655,0.0872563,0.13794625,0.74132824,0.013268448
119,might have to go back much earlier than expected bye bye bay area,4,neutral,0.5525812,0.004695919,0.00216523,0.00660197,0.014176935,0.5525812,0.22694008,0.19283865
120,playin city of villains wishin my buddies were playin with me,6,surprise,0.5989387,0.004247466,0.001444397,0.003372424,0.13442665,0.12404727,0.1335231,0.5989387
121,yep  three things a good haircut the ability to listen and the value of not taking yourself too seriously,3,joy,0.9314339,0.002274163,0.000687381,0.000980031,0.9314339,0.041534133,0.005656874,0.017433465
122,riley hacked my twitter hahaha ,2,fear,0.5207955,0.24339566,0.010524379,0.5207955,0.06531662,0.1092749,0.02921966,0.021473324
123,big sad face bing doesnt work on iphone it just takes you to the regular mobile live search,5,sadness,0.96356887,0.001237478,0.000690108,0.000509123,0.004148305,0.008446218,0.96356887,0.021399934
124,i liked it did you record it yourself if so you have a very soothing voice,3,joy,0.993859,0.000801897,0.000567475,0.000360925,0.993859,0.00151167,0.001808005,0.001091049
125,man im so sad school is ending but then again high school might be better o,5,sadness,0.98060817,0.001039794,0.000376969,0.000788281,0.006731484,0.002978759,0.98060817,0.00747657
126,folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight laughter all night,3,joy,0.9033473,0.00796924,0.001980131,0.001001376,0.9033473,0.01580564,0.003727336,0.06616901
127,youre the absoute best,4,neutral,0.6361197,0.010066463,0.008144918,0.003691261,0.1547761,0.6361197,0.011207077,0.1759944
128,oh my god i cried so much watch this guys from bgt ,5,sadness,0.5843521,0.012898978,0.002671054,0.073625684,0.00747409,0.007631883,0.5843521,0.3113462
129,my near daily exercise is starting to show results,3,joy,0.75633025,0.009598094,0.001792813,0.005882386,0.75633025,0.10010095,0.012434018,0.11386154
130,welcome,4,neutral,0.7772654,0.007664737,0.006390243,0.009748555,0.096427634,0.7772654,0.028734049,0.07376929
131,bout to hit pmark then make one of my final meals wit the housemates,3,joy,0.3857896,0.024302177,0.006069853,0.003680683,0.3857896,0.3054515,0.23492591,0.039780326
132, you get to go home and i have to go to work,5,sadness,0.92946047,0.01432711,0.002264456,0.005292713,0.010865505,0.018323984,0.92946047,0.019465785
133,voted for on cmtcom,4,neutral,0.8600013,0.00505464,0.001948738,0.00320693,0.02060307,0.8600013,0.014861523,0.09432377
134,just got home from a nice party just not tired yet,6,surprise,0.3436037,0.004032282,0.001566352,0.001724792,0.19836025,0.19106922,0.25964335,0.3436037
135,now i have a sunburn,5,sadness,0.98563915,0.003230254,0.001204353,0.001214643,0.002222541,0.003473013,0.98563915,0.003016088
136,i have the job this is a nice day it can not be better,3,joy,0.99218357,0.001060254,0.000393242,0.000331321,0.99218357,0.000490467,0.003998462,0.001542654
137,i wish i could go to bea this weekend,5,sadness,0.96860564,0.000868973,0.000330864,0.002109214,0.012108115,0.002875907,0.96860564,0.013101192
138,i  rupert grint of the boy ive accepted tht i do fancy him but im certain he doesnt feel the same so its not worth telling him,5,sadness,0.85318667,0.011283522,0.000484504,0.001042282,0.124840766,0.00257428,0.85318667,0.006587964
139,love your books,4,neutral,0.4313732,0.04157421,0.012020251,0.001279464,0.39854923,0.4313732,0.06418457,0.05101905
140,ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat a jerk,0,anger,0.3274346,0.3274346,0.104315884,0.007488838,0.024905892,0.08520556,0.13897711,0.31167212
141,im slowing on my tweetscuase i lost my phone,5,sadness,0.94771636,0.015166641,0.001484697,0.004193808,0.001555546,0.012608466,0.94771636,0.017274497
142,well thank your phone for me,4,neutral,0.44088846,0.015604845,0.002169576,0.003606787,0.20632301,0.44088846,0.029633377,0.301774
143,why would they take a photo with stuffed animals thats pretty funny,6,surprise,0.92168236,0.008252419,0.00243832,0.001880493,0.04411128,0.0168675,0.004767608,0.92168236
144,tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak,6,surprise,0.73744357,0.007022688,0.008523962,0.20316155,0.003608719,0.037451256,0.002788312,0.73744357
145,tikcets arent availablebut i so want to go,5,sadness,0.9430121,0.003243876,0.001006196,0.001615277,0.003728777,0.022622999,0.9430121,0.02477078
146,happy mothers day,3,joy,0.85066134,0.004319701,0.000608002,0.00065839,0.85066134,0.010561635,0.00904407,0.124146864
147,its gonna be hot here today too today is ryans last day of prek i cant believe it,6,surprise,0.95424706,0.002567555,0.000378975,0.001343384,0.010744694,0.012493691,0.018224603,0.95424706
148,is dreaming of the weekend awake,4,neutral,0.4394246,0.00460821,0.002249875,0.028588695,0.011498291,0.4394246,0.14065963,0.37297064
149,oh  me ive just returned from the supermarket of doom to find that i have nothing to drink here,5,sadness,0.7453429,0.0023852,0.000664192,0.009397337,0.01662072,0.013817904,0.7453429,0.21177179
150,yay but you missed naptime,5,sadness,0.93681926,0.00138363,0.001592823,0.000901301,0.008845921,0.0192369,0.93681926,0.031220166
151,dgroup saturdays with a little bit of football an hour nap  hours of soccer basketball in the tsu and yogurtland lifes good,3,joy,0.8903753,0.002024172,0.000733697,0.000693798,0.8903753,0.05904867,0.022122,0.025002351
152,just set up a new computer again min i love norton ghost,6,surprise,0.35931286,0.00431216,0.001115837,0.006400371,0.072753355,0.3059923,0.25011307,0.35931286
153,ahhh my mommie got me new sheets for my bed so comfy,3,joy,0.66699094,0.00357214,0.003012548,0.003141811,0.66699094,0.052870132,0.07060282,0.1998096
154,celeste finally some sleep in silence,4,neutral,0.49473435,0.013625403,0.018305957,0.026991062,0.004913612,0.49473435,0.42584196,0.015587675
155,im just up  and its  o im so lazy thank god its a bank holiday,5,sadness,0.6416409,0.004100951,0.000610028,0.001664954,0.1187144,0.03259267,0.6416409,0.20067605
156,is pretty dang tired but chambers class is for napping,5,sadness,0.95561117,0.003839266,0.002278638,0.001214086,0.004302986,0.020749396,0.95561117,0.012004434
157,i have to poop is hogging the shitter,5,sadness,0.9055698,0.040986627,0.03329547,0.002206283,0.014357439,0.001935314,0.9055698,0.001649113
158,yes im down to  full on my dvr i was at  like  days ago lol i swear if i didnt have a dvr i would never watch tv,6,surprise,0.66694427,0.005252218,0.001044006,0.002433444,0.06312874,0.1244524,0.13674489,0.66694427
159,happy muthaths day to all moms i salute you,3,joy,0.9231483,0.003523334,0.000382455,0.000463559,0.9231483,0.00556366,0.005731636,0.061187092
160,hahaha alright ,3,joy,0.7430721,0.026929617,0.007682351,0.03752851,0.7430721,0.15848331,0.017949505,0.00835456
161,arent you suppossed to support the local economy  lol  good for you and congrats,3,joy,0.87204444,0.002366232,0.000386752,0.000563236,0.87204444,0.028925855,0.01923986,0.07647359
162,good to know thanks,3,joy,0.88406867,0.002917313,0.002678052,0.000546614,0.88406867,0.09379406,0.004709604,0.011285724
163,what are you flavor of the day,4,neutral,0.776417,0.020658938,0.008147933,0.005349085,0.021835914,0.776417,0.011174625,0.1564166
164,weathers let me down this morningughhada gd nite tho,5,sadness,0.6372067,0.011590362,0.004768766,0.013187852,0.060382865,0.21520534,0.6372067,0.057658136
165,just listened to condre scr and got an invitation to watch their live concert on june th in munich  postrock,4,neutral,0.41671905,0.00605778,0.000659759,0.001884267,0.1654555,0.41671905,0.03124953,0.37797415
166,elo wow brings back so many happy memories love this bandand yes i know im showing my age but i dont care,3,joy,0.67358273,0.002402439,0.000389737,0.001292189,0.67358273,0.013287865,0.016740246,0.29230475
167,thats a very cute picture  but you dont get fat from licking bbqs  he must have found some chops on someone elses ,3,joy,0.43990603,0.039163645,0.02266133,0.065674506,0.43990603,0.05664178,0.33480993,0.041142724
168,oh i love sunday mornings like this  mum just made scrambled eggs on toast,6,surprise,0.4239931,0.005147503,0.001234962,0.002247277,0.3379814,0.16318123,0.06621447,0.4239931
169,hate working when its sunnyboohoo,5,sadness,0.6834079,0.092584714,0.010933774,0.002138016,0.09646573,0.049371853,0.6834079,0.06509804
170,is online ,4,neutral,0.5104721,0.08477249,0.010132249,0.31260636,0.020560332,0.5104721,0.029252991,0.03220347
171,bundy in  days warm weather here i come,3,joy,0.6405714,0.002678157,0.000461187,0.001237662,0.6405714,0.13385966,0.03841031,0.18278152
172,wondering if i cld make things any worse than they already are answer just did,0,anger,0.5128867,0.5128867,0.13366571,0.065072365,0.004122315,0.056772906,0.2202107,0.007269218
173,a dutch marketing agency is asking job applicants to apply in  characters or less ,2,fear,0.40319484,0.34917107,0.033699434,0.40319484,0.019308198,0.10148631,0.051624082,0.041516125
174,twitter has spoiled all the fun frustratingly slow couldnt even bid properly,5,sadness,0.83589494,0.030245233,0.001218049,0.001382621,0.011625083,0.06330264,0.83589494,0.056331508
175,chick haha i completely agree,3,joy,0.6337123,0.009759261,0.002052181,0.001155353,0.6337123,0.16500412,0.014638419,0.17367832
176,if we dont pack she cant leave right,4,neutral,0.91810864,0.014362355,0.007518365,0.004056349,0.001978831,0.91810864,0.03127744,0.022698026
177, lolwhere u headed to,4,neutral,0.5749666,0.004111281,0.0012317,0.002433291,0.082283676,0.5749666,0.07135684,0.26361656
178,going to bed after a great night with a friend glad to know she has the same feelings about classes as someone else,3,joy,0.9858515,0.001005513,0.000683075,0.000242825,0.9858515,0.004857936,0.003169001,0.004190053
179,many mine included ahem shld have known better back then wldnt have missed so many opportunities haha,5,sadness,0.39068022,0.008188635,0.005433288,0.003843996,0.12837735,0.2017429,0.39068022,0.26173362
180,its nice to leave the office when the sun is still up,3,joy,0.97187984,0.001127755,0.001093297,0.000529605,0.97187984,0.006870996,0.012582586,0.005915902
181,i will miss the soccer moms,5,sadness,0.99277663,0.000832173,0.000384916,0.000518624,0.002433459,0.001675649,0.99277663,0.001378584
182,between the garlic pills the spider bite between your toe lolclassic and you always being hungry u are killing me  funny,6,surprise,0.4508456,0.037433032,0.007493771,0.006028026,0.24231671,0.15978782,0.096094996,0.4508456
183,sighs ah well maybe my second email will clear it up and get him approved,5,sadness,0.36061034,0.021199029,0.03282204,0.023376347,0.14624341,0.33404103,0.36061034,0.08170778
184,missed all your tweets again joe  that time difference uk dont get about your fave supporters in the uk ,5,sadness,0.31795925,0.27327558,0.01855015,0.31043044,0.011727972,0.059761874,0.31795925,0.00829475
