Text,Meaning,Sentiment
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral
yay about breaking 200!,yay about breaking 200!,positive
bahah sadly I am not,"evil laugher, sadly i am not",negative
i always have those for my Champions League parties Tis awesome,i always have those for my Champions League parties it is awesome,positive
"well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!","well, not all. Just stay away from those kinds and surround yourself with those who don`t. Happy mother`s day to your mom, Treiz!",positive
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,"Adel, they didn`t reply yet. Wait till they confirm. In case somebody might have translated it already.",neutral
thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,that is rough. husband had knee surgery but it did help him in the end. Let us know the results. We will keep him in our prayers,negative
might have to go back much earlier than expected. bye bye bay area,might have to go back much earlier than expected. bye bye bay area,neutral
"Playin City of Villains, wishin my buddies were playin with me.....","Playing City of Villains, wishing my buddies were playin with me.",positive
"yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously","yes - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive
riley hacked my twitter! hahaha :],Riley hacked my twitter! hahaha ,neutral
Big Sad Face Bing doesn`t work on iPhone. It just takes you to the regular mobile Live search.,Big Sad Face Bing doesn`t work on iPhone. It just takes you to the regular mobile Live search.,neutral
I liked it. Did you record it yourself? If so you have a very soothing voice.,I liked it. Did you record it yourself? If so you have a very soothing voice.,positive
man im so sad school is ending but then again high school might be better :O,man i am so sad school is ending but then again high school might be better ,neutral
"Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight. Laughter all night.","Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight. Laughter all night.",positive
you`re the absoute best,you`re the absoute best,positive
oh my god!!! i cried so much!!! watch this guys from BGT http://bit.ly/5t5Xz,oh my god! I cried so much! watch this guys from BGT http://bit.ly/5t5Xz,neutral
My near daily exercise is starting to show results.,My near daily exercise is starting to show results.,neutral
Welcome!,Welcome!,positive
Bout to hit pmark then make one of my final meals wit the housemates..,About to hit mark then make one of my final meals wit the housemates.,neutral
: you get to go home and i have to go to work,you get to go home and I have to go to work,neutral
voted for on CMT.com,voted for on CMT.com,neutral
"just got home from a nice party, just not tired yet","just got home from a nice party, just not tired yet",positive
Now I have a sunburn,Now I have a sunburn,negative
I have the Job this is a nice day it can not be better,I have the Job this is a nice day it can not be better,positive
I wish I could go to #BEA this weekend.,I wish I could go to #BEA this weekend.,positive
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him But im certain he doesnt feel the same so its not worth telling him","I love Rupert Grint and of the boy, I have accepted that I do fancy him But I am certain he does not feel the same so it is not worth telling him",neutral
love your books,love your books,positive
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,"ok so this eye doctor guy is taking forever and I`m sitting in a cold room by myself, what? A jerk!",negative
Im Slowing on My Tweets..Cuase I Lost My Phone,I am slowing on my tweets because I Lost My Phone,negative
well thank your phone for me.,well thank your phone for me.,positive
why would they take a photo with stuffed animals?! that`s pretty funny,why would they take a photo with stuffed animals? That`s pretty funny,positive
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral
tikcets aren't available..BUT I SO WANT TO GO,tikcets aren't availabl but i want to go.,positive
Happy Mothers Day,Happy Mothers Day,positive
It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!,It`s gonna be hot here today too. today is Ryan`s last day of prek. I can`t believe it!,negative
is dreaming of the weekend... awake!,is dreaming of the weekend... awake!,neutral
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.","Oh, fuck me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative
yay but you missed naptime,yes but you missed naptime,neutral
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good","D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland. Life`s Good",positive
just set up a new computer again. 15min. I love Norton Ghost.,just set up a new computer again within 15 minutes. I love Norton Ghost.,positive
Ahhh my mommie got me new sheets for my bed so comfy,Ah my mommie got me new sheets for my bed so comfortable,positive
_celeste finally some sleep in silence,_celeste finally some sleep in silence,neutral
im just up :-| and its 12:43 :O im so lazy thank god its a bank holiday,I am just up and its 12:43 I am so lazy thank god that its a bank holiday,neutral
is pretty dang tired. but chambers class is for napping.,is pretty dang tired. but chambers class is for napping.,negative
i have to poop... is hogging the shitter,I have to poop... is hogging the shitter,negative
YES! Im down to 50% full on my dvr i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,YES! I am down to 50% full on my digital video recorder i was at 98% like 3 days ago... laughing out loud I swear if I didnt have a digital video recorder I would never watch tv,neutral
Happy muthath`s day to all moms!!! I salute you!,Happy muthath`s day to all moms!!! I salute you!,positive
Hahaha! Alright ..,Haha! Alright.,positive
Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,Aren`t you suppossed to support the local economy ... Laugh out loud ... good for you and congrats,positive
good to know thanks,"good to know, thanks",positive
what are you? flavor of the day?,what are you? flavor of the day?,neutral
weathers let me down this morning...ugh!...hada gd nite tho!,weathers let me down this morning ugh! had a good nite tho!,neutral
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0 #postrock,Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich.,neutral
"E.L.O. wow, brings back so many happy memories. LOVE this band!..and yes, I know I`m showing my age but I don`t care","E.L.O. wow! brings back so many happy memories. LOVE this band and yes, I know I am showing my age but I do not care.",positive
that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,that`s a very cute picture but you don`t get fat from licking barbecue he must have found some chops on someone elses.,positive
oh i love sunday mornings like this - mum just made scrambled eggs on toast,oh I love sunday mornings like this - mum! I just made scrambled eggs on toast.,positive
"hate working when its sunny,boohoo","hate working when it`s sunny, boohoo!",negative
is ONLiNE http://plurk.com/p/stjdg,Is ONLINE,neutral
bundy. in 3 days.!!!! warm weather here i come!,bundy in 3 days... warm weather is here I am come.,neutral
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,Wondering if I could make things any worse than they already are answer.. JUST DID!!!,negative
a Dutch marketing agency is asking job applicants to apply in 140 characters or less http://www.energize.nl/twillicitatie/,A Dutch marketing agency is asking job applicants to apply in 140 characters or less http://www.energize.nl/twillicitatie/,neutral
Twitter has spoiled all the fun. Frustratingly slow!! couldnt even bid properly!,Twitter has spoiled all the fun. Frustratingly slow! couldn`t even bid properly.,negative
_chick haha. I completely agree,chick haha! I completely agree.,positive
"If we don`t pack, she can`t leave, right?","If we don`t pack, she can`t leave, right?",neutral
**** lol....where u headed to?,"laughing out loud, where are you headed to?",neutral
Going to bed after a great night with a friend glad to know she has the same feelings about classes as someone else,Going to bed after a great night with a friend glad to know she has the same feelings about classes as someone else.,positive
"many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha","Many! mine included ahem should have known better back then, wouldn`t have missed so many opportunities. haha!",negative
it`s nice to leave the office when the sun is still up,It`s nice to leave the office when the sun is still up.,positive
I will miss the soccer moms,I will miss the soccer moms.,negative
"between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny","Between the Garlic Pills, the Spider bite between your toe, laugh out loud, and you always being hungry. You are killing me too. Funny!",neutral
*sighs* Ah well. Maybe my second email will clear it up and get him approved.,sighs Ah! well. Maybe my second email will clear it up and get him approved.,neutral
"Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!! ****",Missed all your tweets again Joe that time difference! UK Don`t forget about your fave supporters in the UK!,neutral
--that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,That came to my mind. So I said it. And it has now been adapted into my family`s vocabulary.,neutral
looking forward to body works today,Looking forward to body works today.,neutral
just watched yes man. bahaha. that movie is messed up,just watched yes man haha! that movie is messed up.,negative
Sadly I think I know exactly were you put it--in the expired drawer Those things have a life span of less than two years,Sadly I think I know exactly were you put it in the expired drawer. Those things have a life span of less than two years.,negative
"Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.","Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,Meeting my best friend first thing in the morning to the gym! Oh my God! I am still so shocked. I hope you will get better soon.,neutral
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,Wow! that was fast next up Soderling or Ferrer. Gilles Simon lost.,negative
Yup theory is GREAT but the reality is beyond imagination... I also made the same planning not knowing VS will FAIL on me,Yeah theory is GREAT but the reality is beyond imagination. I also made the same planning not knowing versus will FAIL on me,neutral
glad to know that the ad display problem was due to a firewall config at yr office. phew!,glad to know that the ad display problem was due to a firewall configurations at your office. phew!,positive
woot!,expression happiness and excitement,positive
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.' that was my freaking jam when i was little. i miss it.","I don`t like Monday, I wish it was sunday, cause that`s my fun day. That was my freaking jam when I was little. I miss it.",neutral
??? ?????? - http://bit.ly/nAcK2,??? ?????? - http://bit.ly/nAcK2,neutral
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!","Waiting for the last movie to finish then I am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral
Happy #StarWarsDay. May the 4th be with you! From everyone _paintball,Happy #StarWarsDay. May the fourth be with you! From everyone paintball.,positive
Must head back to the office,Must head back to the office.,neutral
St joe is dirty.,Saint  joe is dirty.,negative
http://twitpic.com/4w67k - Camping at black butte lake,Camping at black Butte lake.,neutral
"are you getting my messages or do you have to add me to recieve them, soz I`m new to this","are you getting my messages or do you have to add me to recieve them, sorry, I`m new to this",neutral
I hate my life,I hate my life.,negative
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,sick to my stomach and I have a headache. I wish someone could come rub my temples.,negative
****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,**** !natalya! you gotta tell me whats going on I would call you but I lost all my phone numbers when I broke my blackberry.,negative
just thought about how unfair 3 ppl have been 2 me n got depressed again HATERS!!!,just thought about how unfair three people have been to me no got depressed again HATERS!,negative
crying real tears,Crying real tears.,negative
_Brown been holding onto this one for a while http://twitpic.com/4w5eh,_Brown been holding on to this one for a while http://twitpic.com/4w5eh,neutral
Panchito`s burfday party tonight... wish you were here kiddo!,Panchito`s birthday party tonight wish you were here kiddo.,positive
Back from town and my Mac crashed on me but it`s better now,Back from town and my Mac book crashed on me but it`s better now,neutral
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,ARCHIE ANDREWS WHAT WERE YOU THINKING? veronica?,neutral
the best things in life are free x,the best things in life are free meaning,positive
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,Misses my Mom today. She was my Best Friend and even though she has been gone several years I still miss her dearly. Happy Mother`s Day.,positive
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,I am watching Blood + on veoh episode 19 love the music wishing I could watch the live action but not old enough.,negative
that is a bummer,That is a  huge disappointment.,negative
He is the truth! But what about Maxwell? You can`t forget the future father of my children!,He is the truth. But what about Maxwell? You can`t forget the future father of my children.,neutral
http://twitpic.com/665jw The racoons ate our bread!,http://twitpic.com/665jw The racoons eat our bread.,negative
Be sure to let the moms you know how fabulous you think they are!! Almost Mother`s Day.,Be sure to let the moms you know how fabulous you think they are!  Almost Mother`s Day.,positive
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.","in a story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think were never coming back.",neutral
No launch today. Teacher changed plans and we watched a stupid move about tesla,No launch today. Teacher changed plans and we watched a stupid move about tesla.,negative
it`s very pleasant. i sooo rarely just have time to kill...,it`s very pleasant. I so rarely just have time to kill.,positive
thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,Thank you! ooh I see you`ve read Desert Islands great book!,positive
__O lol but tiz a good song,laughing out loud but it is a good slang,positive
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time Will keep going,Again working on the internet shop don`t think we will achieve the goal of uploading by the previously set time Will keep going.,neutral
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much. I`m taking yours.","@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much. I`m taking yours.",negative
what causes the frustration buddy?,what causes the frustration buddy?,neutral
_Wright THANK YOU! 'Return of the Mack' is THE jam!,_Wright THANK YOU! 'Return of the Mack' is THE jam!,positive
Ready for this saddenning depressing dullful upsetting dreadful weekend.,Ready for this saddening depressing dullful upsetting dreadful weekend.,negative
sorry for my lack of tweets ive been buzy. new vid this saturday!!,sorry for my lack of tweets I was been buzy. new video this saturday!,negative
"I do my humble best Going on a works paintball day soon so that should fuel a few strips, no doubt","I do my humble best Going on a works paintball day soon so that should fuel a few strips, no doubt",positive
going to bed cant take thiss any longeerr maan. [U],going to bed can`t take this any longer man.,negative
_Morden ..be at richard`s. if not then i`ll see you when you/we get back good luck!,"...be at Richard`s. If not then I`ll see you when you or we get back, good luck!",positive
Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,Thanks... I really do appreciate that. I know it will be the hardest thing I have ever done,neutral
Spent the last hour signing yearbooks. I`ll miss you guys!,Spent the last hour signing yearbooks. I`ll miss you guys!,negative
And I just love every little thing about you...,And I just love every little thing about you ,positive
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,My mobile has stopped recieving text messages AGAIN. Stupid thing,negative
"Hi Simon, let me know when it`s done","Hi Simon, let me know when it`s done",neutral
Had an amazing night with my favorite lady friend,Had an amazing night with my favorite lady friend,positive
_Oyler Poor little woman with her smushed in head,_Oyler Poor little woman with her smushed in head,negative
is fixin to clean the house for my mom for mother`s day,Is fixing to clean the house for my mom for mother`s day,positive
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!","Why do you think people say, 'save the drama for your mama?' I`m sure even your mama wouldn`t wanna listen to your drama. Ode to mother`s day!",neutral
Hey! That`s my school! I hate that place.,Hey! That`s my school! I hate that place.,negative
i did i only got 3 stars on the pre wash then failed the rince,"I did, I only got 3 stars on the pre wash then failed the rinse",negative
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,MY SISTER IN LAW JUST LEFT FOR HER PROM! SHE LOOKED SOO PRETTY. TEARS ALL AROUND,positive
follow me too,follow me too.,neutral
bought three books!! yipee!! now who`s with me on that read-ten-books-during-the-summer thing?,bought three books! yipee! now who`s with me on that read-ten-books-during-the-summer thing?,neutral
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,I`m really bored! My brother went to get his permit! Stay off the roads! just kidding laughing out loud! It feels like all my friends have abandoned me! Except 1,negative
", goodnight",goodnight,positive
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick How`s you?","The Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick How`s you?",negative
"but i do emily ahahha you scare me, so it would work","but i do emily haha you scare me, so it would work",negative
Now I need to change my monitor,Now I need to change my monitor,neutral
"I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL. Haven`t been online much","I know dude, I`m doing re-runs, making Jenny watch them now too so we can have conversations laugh out loud. Haven`t been online much",neutral
WHAT ABOUT ME ?? I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME? I VOTE EVERY DAY FOR YOU!,neutral
should not have waled past the Quad! I want to be outside having fun.,should not have waled past the Quad! I want to be outside having fun.,positive
"just rocked home from maccas, and now signing a petition for big bang to tour aus LOL","just rocked home from maccas, and now signing a petition for big bang to tour aus Laugh out loud",neutral
i think the food i ate made me sick.. i no feel so good,i think the food i ate made me sick. i no feel so good,negative
eagerly anticipating twitpics,eagerly anticipating twitpics,neutral
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee","Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive
Just wants to stay in bed all day but has to go to work instead sux,Just wants to stay in bed all day but has to go to work instead sucks,negative
chillen trying to figure this thing out gettin drunk,chillen trying to figure this thing out gettin drunk,positive
